"merge","cubes","ash","fomo","lp","other","q2","q3","q4","q4open","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q9open"
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","5","I do not have a theory on classes",NA,"staking yielding lower tier pak nfts","During Q3 2022 (Jul-Sep)","Agree","33000","Innovative application of Web 3.0 technology",79,"More than 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","1","I do not have a theory on classes",NA,"Not sure","During Q2 2022 (Apr-Jun)","Strongly agree","10000","Expected appreciation on secondary market",106,"Between 50 and 75 percent",NA,"10","Does not matter",NA
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,"Not sure ","Before or During Q1 2022 (Jan-Mar)","Strongly agree","19000","Innovative application of Web 3.0 technology",40,"More than 75 percent","5 hours or less","5","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","10000","Expected appreciation on secondary market",31,"Between 50 and 75 percent","6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"Pak has now revealed this! ","During or After Q4 2022 (Oct-Dec)","Agree","38000","Expected appreciation on secondary market",31,"Less than 25 percent","5 hours or less","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Tokens in a class will compete against each other",NA,"No idea :(","During Q2 2022 (Apr-Jun)","Agree","22000","Innovative application of Web 3.0 technology",114,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","3","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Strongly agree","37000",NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"Notnsure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,NA,NA,NA,NA,"10-50 ETH","1","I do not have a theory on classes",NA,"I don’t know … still learning ",NA,NA,NA,"Artist history of community membership",28,"Less than 25 percent","5 hours or less","5","Net positive",NA
"Merge (Mass)",NA,NA,NA,NA,NA,"5-10 ETH","1","Tokens will compete both within and across classes",NA,"Probably based on the size of mass and class. ","Before or During Q1 2022 (Jan-Mar)","Agree","7200","Innovative application of Web 3.0 technology",24,"Less than 25 percent","5 hours or less","8","Does not matter",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","I do not have a theory on classes",NA,"X number of mass unlocks NFT redemption ","During Q3 2022 (Jul-Sep)","Disagree","29000","Expected appreciation on secondary market",84,"More than 75 percent","6 to 10 hours","5","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","I do not have a theory on classes",NA,"Similar to burn","During Q2 2022 (Apr-Jun)","Agree","12500","Artist history of community membership",108,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Other (please explain your class theory)","Maybe just a reinforcement of the concept of ""extinction"". The less class x = survivers","No idea tbh","During Q3 2022 (Jul-Sep)","Neither agree nor disagree","25000","Straightforward aesthetic appeal",101,"Between 25 and 50 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens will compete both within and across classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","35000","Artist commitment to ASH ecosystem",21,"Between 25 and 50 percent","6 to 10 hours","10","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Tokens will compete both within and across classes",NA,"I remember Pak mentioned that we can somehow uses our mass to redeem for NFT that can be burned for ASH is we choose to? ","During Q2 2022 (Apr-Jun)","Strongly agree","9500","Innovative application of Web 3.0 technology",86,"Between 50 and 75 percent","11 to 20 hours","9","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","Tokens in a class will compete against each other",NA,"Burnable NFTs will be claimable upon achieving certain mass. These can then be burned on Burn.art for $ASH.","During or After Q4 2022 (Oct-Dec)","Agree","20000","Artist commitment to ASH ecosystem",84,"More than 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Strongly agree","20000","Innovative application of Web 3.0 technology",103,"Less than 25 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Classes will compete against other classes",NA,"Based on mass value and number of merge of each token.","Before or During Q1 2022 (Jan-Mar)","Agree","28000","Innovative application of Web 3.0 technology",68,"Between 25 and 50 percent","6 to 10 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,NA,"Omnomnom","<5 ETH","1","Tokens will compete both within and across classes",NA,"It will likely look like everything else there - white text on a black background. I don't see Pak making the redemption mechanism somehow look differently on mass.black, given that would make no sense for their design aesthetic.",NA,"Neither agree nor disagree",NA,"Innovative application of Web 3.0 technology",103,"Between 50 and 75 percent","6 to 10 hours","7","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"No idea","During Q3 2022 (Jul-Sep)","Strongly agree","30000","Expected appreciation on secondary market",118,"Between 50 and 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Tokens will compete both within and across classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Strongly agree","20000","Artist commitment to ASH ecosystem",53,"Between 50 and 75 percent","11 to 20 hours","8","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"1) lottery system: more mass-> better chances at winning a high tier NFT    2) certain masses might be burnable, maybe the ""impossible numbers"" theory (not High Tier then but maybe something like 1/10 of that)    Most likely both wrong, but I think 1) is more likely.","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","30000","Expected appreciation on secondary market",31,"Between 25 and 50 percent","6 to 10 hours","10","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","3","Tokens in a class will compete against each other",NA,"Smallest unit of mass can be used to redeem ASH reducing total mass available","During or After Q4 2022 (Oct-Dec)","Strongly agree","28000","Expected appreciation on secondary market",96,"Less than 25 percent","6 to 10 hours","7","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Classes will compete against other classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Unknown ","During Q3 2022 (Jul-Sep)","Strongly agree","28000","Innovative application of Web 3.0 technology",51,"More than 75 percent","5 hours or less","9","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"How I think it’ll look? Probably Simple page design, monochrome, San serif fonts. As for how it’ll operate, redeeming mass for ash will probably be pro-data. Pak has wanted to keep ash in the 30s (as evidenced by his recent infusion of eth when it dipped), so I’m guessing 10:1 or so ash per merge. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","3","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","28000","Expected appreciation on secondary market",64,"Between 25 and 50 percent","5 hours or less","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"?","During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","10000","Other (please specify)",17,"Less than 25 percent","5 hours or less","7","Net positive","By pak"
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","2","Other (please explain your class theory)","certain classes will have priority over others","A certain mass will be used to claim certain NFTs, which will then burn on burn.art as Tier 1 tokens.  You will be able to ""use"" even only a portion of your Merge mass (eg 100 out of a mass of 180)  ","During Q3 2022 (Jul-Sep)","Disagree","35000","Artist commitment to ASH ecosystem",51,"More than 75 percent","More than 20 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Thru Burn","During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","20000","Artist history of community membership",56,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","I do not have a theory on classes",NA,"No idea - it's fun being in the dark though","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","19000","Expected appreciation on secondary market",75,"Less than 25 percent","5 hours or less","8","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","3","Classes will compete against other classes",NA,"10(m) = 1 burn","During or After Q4 2022 (Oct-Dec)","Agree","20000","Innovative application of Web 3.0 technology",103,"More than 75 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)","omnomnom","<5 ETH","2","I do not have a theory on classes",NA,"dont now love art and love this history with this comunity","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","0","Artist history of community membership",NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"Different masses will entitle holders to redeem different sizes NFTs which are burnable for different amounts of Ash.  Won’t be entirely linear, eg it won’t be that mass 1-10 get X, mass 11-20 get Y etc.  Other variables and rarity factors will come into play.","During Q2 2022 (Apr-Jun)","Agree","25000","Straightforward aesthetic appeal",56,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Tokens in a class will compete against each other",NA,"True burn results in Ash, but if you hit a few magic mass number  eg prime numbers, the multiplier is way more than usual.","Before or During Q1 2022 (Jan-Mar)","Strongly agree","10000","Innovative application of Web 3.0 technology",106,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,"I really don’t know ","During or After Q4 2022 (Oct-Dec)","Agree","34000","Artist commitment to ASH ecosystem",116,"Between 50 and 75 percent","6 to 10 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,"minimum of m(5)","During Q3 2022 (Jul-Sep)","Agree","19000","Straightforward aesthetic appeal",31,"Between 50 and 75 percent","5 hours or less","9","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","I do not have a theory on classes",NA,"Subtract Mass to qualify for NFT drops that burn for set values of ASH, beyond the binary high-tier and low-tier. Potential for mass.black to also be a hub for #WeAcceptASH artists to pay in Merge to qualify their works for ASH burn.","During Q3 2022 (Jul-Sep)","Strongly agree","12000","Expected appreciation on secondary market",63,"Less than 25 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","I do not have a theory on classes",NA,"you need X (X mass divided by the price of ash at the time to balance out the price) amount of mass and at least 1 merge ","During or After Q4 2022 (Oct-Dec)",NA,"25000","Artist commitment to ASH ecosystem",3,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","Classes will compete against other classes",NA,"Yes","During Q3 2022 (Jul-Sep)","Strongly agree","5000","Artist commitment to ASH ecosystem",31,"More than 75 percent","11 to 20 hours","10","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"No idea","During Q3 2022 (Jul-Sep)","Agree","25000","Straightforward aesthetic appeal",51,"Between 50 and 75 percent","6 to 10 hours","9","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","5","Tokens in a class will compete against each other",NA,"I have no clue but i’m hoping something like staking","During Q3 2022 (Jul-Sep)","Strongly agree","30000","Artist commitment to ASH ecosystem",59,"Between 25 and 50 percent","6 to 10 hours","9","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","Classes will compete against other classes",NA,NA,"During Q3 2022 (Jul-Sep)","Disagree","10000","Artist history of community membership",118,"Between 50 and 75 percent","11 to 20 hours","10","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens will compete both within and across classes",NA,"Get new NFTs that are burnable for ASH. The more mass, the more NFTs burnable.","During Q3 2022 (Jul-Sep)","Disagree","20000","Straightforward aesthetic appeal",12,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,NA,"During or After Q4 2022 (Oct-Dec)","Agree",NA,"Innovative application of Web 3.0 technology",NA,"Less than 25 percent","5 hours or less","7","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","Tokens will compete both within and across classes",NA,"Staking/redemption of mass into ash over time. Slow burning of fuel to create energy.","During Q3 2022 (Jul-Sep)","Agree","30000","Artist commitment to ASH ecosystem",94,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","Classes will compete against other classes",NA,"The same way as The Fungible  ","During Q2 2022 (Apr-Jun)","Strongly agree","25654","Straightforward aesthetic appeal",80,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"Dependent on mass and merge ","Before or During Q1 2022 (Jan-Mar)","Strongly agree","17000","Expected appreciation on secondary market",31,"Less than 25 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,NA,"During Q3 2022 (Jul-Sep)","Neither agree nor disagree","32000","Expected appreciation on secondary market",30,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","4","I do not have a theory on classes",NA,"Not sure","During or After Q4 2022 (Oct-Dec)","Disagree","12000","Innovative application of Web 3.0 technology",31,"Less than 25 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"At some point in time Pak did mention A Cube performed better than multicubes but it will be different for Mass. Whilst Pak always rewards the smaller collector this time ASH redemption may scale with mass size however to control supply it might be low tier or even tier up with minimum threshold mass sizes to encourage merging. ","During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","10000","Straightforward aesthetic appeal",52,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","2","I do not have a theory on classes",NA,"m.b is a portal where you redeem","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","20000","Innovative application of Web 3.0 technology",23,"Less than 25 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","5","I do not have a theory on classes",NA,"I think you will be amble to use mass and move between collections ","Before or During Q1 2022 (Jan-Mar)","Strongly agree","25000","Innovative application of Web 3.0 technology",114,"Between 25 and 50 percent","5 hours or less","10","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","The Title and The Creation Tiles","10-50 ETH","2","I do not have a theory on classes",NA,"no clue","During or After Q4 2022 (Oct-Dec)","Strongly agree","1","Artist commitment to ASH ecosystem",58,"More than 75 percent","5 hours or less","7","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","I do not have a theory on classes",NA,"Merge will let owners claim a token. Some tokens will be burnable as high tier for ASH.","During or After Q4 2022 (Oct-Dec)","Agree",NA,"Innovative application of Web 3.0 technology",85,"Between 25 and 50 percent","6 to 10 hours","8","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens will compete both within and across classes",NA,"Impossible number and/or classes splits for claims","During Q3 2022 (Jul-Sep)","Agree","33000","Artist commitment to ASH ecosystem",101,"Less than 25 percent","5 hours or less","7","Net negative",NA
